Experiment	Treatment	Bottle	Time(hours)	Enzyme	Measurement	stdev
A	J	J2	0	AMA	3,134889665	0,367789031
A	J	J3	0	AMA	3,379596242	0,191968015
A	C	C1	9	AMA	35,51877479	1,198501495
A	C	C2	9	AMA	28,81346763	3,177758487
A	C	C3	9	AMA	32,78656134	3,049133934
A	J	J1	9	AMA	7,826653099	1,46196056
A	J	J2	9	AMA	9,591207615	1,006232633
A	J	J3	9	AMA	9,705049842	1,692067264
A	C	C1	24	AMA	1150,670869	24,05880818
A	C	C2	24	AMA	1042,309256	30,88746628
A	C	C3	24	AMA	1069,78428	48,44448576
A	J	J1	24	AMA	24,80081795	1,437271975
A	J	J2	24	AMA	37,88157124	2,321485854
A	J	J3	24	AMA	24,80444646	0,659948789
A	C	C1	43	AMA	1469,47947	74,96157468
A	C	C2	43	AMA	2902,562883	107,7187522
A	C	C3	43	AMA	3391,288299	60,04971629
A	J	J1	43	AMA	38,578003	4,56663184
A	J	J2	43	AMA	179,0104193	14,81591439
A	J	J3	43	AMA	55,3062494	4,313778612
A	C	C1	67	AMA	1771,935569	79,61272881
A	C	C2	67	AMA	3053,387987	101,5510921
A	C	C3	67	AMA	3595,062301	67,28664684
A	J	J1	67	AMA	56,32490092	13,90951261
A	J	J2	67	AMA	202,343998	10,08986809
A	J	J3	67	AMA	61,65359071	3,084067839
B	C	SC1	0	AMA	1361,725907	380,1266741
B	C	SC2	0	AMA	1063,079697	180,5431165
B	C	SC3	0	AMA	1433,098571	169,1287578
B	J	SJ1	0	AMA	626,392573	29,79613491
B	J	SJ2	0	AMA	345,7071397	16,33144808
B	J	SJ3	0	AMA	180,5822481	25,64440049
B	C	SC1	24	AMA	122,9895455	7,717984901
B	C	SC2	24	AMA	84,36413682	1,785929672
B	C	SC3	24	AMA	82,06897327	6,306564883
B	J	SJ1	24	AMA	22,54998192	2,513545944
B	J	SJ2	24	AMA	23,73469134	2,149004004
B	J	SJ3	24	AMA	23,52964548	2,314702077
B	C	SC1	72	AMA	257,0203484	6,452692348
B	C	SC2	72	AMA	204,1431331	8,826442894
B	C	SC3	72	AMA	148,4391802	6,594098193
B	J	SJ1	72	AMA	23,30285404	3,359787495
B	J	SJ2	72	AMA	18,4903081	0,744523069
B	J	SJ3	72	AMA	20,43558983	1,836182788
B	C	SC1	96	AMA	447,4160147	8,963282527
B	C	SC2	96	AMA	248,9530459	12,92897744
B	C	SC3	96	AMA	226,1760668	12,39498022
B	J	SJ1	96	AMA	23,38569334	1,606984944
B	J	SJ2	96	AMA	17,88513036	1,560973164
B	J	SJ3	96	AMA	19,83301584	0,999607014
B	C	SC1	120	AMA	755,0529896	17,07556826
B	C	SC2	120	AMA	271,7009992	10,57840835
B	C	SC3	120	AMA	277,1300649	6,201338463
B	J	SJ1	120	AMA	17,91798111	1,687480772
B	J	SJ2	120	AMA	17,45351731	0,790616553
B	J	SJ3	120	AMA	18,80562303	0,956890613
B	C	SC1	144	AMA	1018,573057	31,74401992
B	C	SC2	144	AMA	375,0644212	10,68325359
B	C	SC3	144	AMA	232,7842674	11,74937434
B	J	SJ1	144	AMA	20,29964674	0,983373891
B	J	SJ2	144	AMA	25,89082972	2,263751414
B	J	SJ3	144	AMA	21,47969541	1,653873347
